,ID,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Preferred Foot,International Reputation,Skill Moves,Position,Joined,Contract Valid Until,Height,Weight,Release Clause
462,189619,K. Smith,27,England,70,71,Bristol City,2000.0,23,Right,1.0,3.0,CM,2014,01/01/2020,5.75,154.0,4000.0
463,189682,B. Mee,28,England,79,79,Burnley,10000.0,58,Left,1.0,2.0,LCB,2012,01/01/2019,6.0,181.0,19000.0
464,189695,J. Devitt,27,Republic of Ireland,62,62,Carlisle United,325.0,2,Right,1.0,3.0,LM,2016,01/01/2019,5.833333333,146.0,569.0
465,189776,M. Watkins,27,Wales,69,69,Bristol City,1100.0,19,Right,1.0,3.0,RM,2018,01/01/2021,5.833333333,143.0,2100.0
466,189780,E. Pezzi,28,Italy,65,65,Carpi,425.0,1,Right,1.0,2.0,LB,2018,01/01/2020,5.916666667,165.0,659.0
467,189795,Éder,30,Portugal,75,75,Lokomotiv Moscow,6500.0,1,Right,2.0,3.0,ST,2018,01/01/2020,6.25,179.0,13700.0
468,189802,D. McCrory,28,Republic of Ireland,65,65,Burton Albion,425.0,3,Left,1.0,2.0,LB,2012,01/01/2019,6.083333333,179.0,744.0
469,189865,D. Templeton,29,Scotland,66,66,Burton Albion,625.0,4,Right,1.0,4.0,LM,2018,01/01/2020,5.75,139.0,1100.0
470,189868,M. Marshall,31,Jamaica,66,66,Charlton Athletic,575.0,4,Left,1.0,3.0,RM,2017,01/01/2019,5.583333333,152.0,1000.0
471,189881,C. Smalling,28,England,81,82,Manchester United,16000.0,130,Right,3.0,2.0,RCB,2010,01/01/2019,6.333333333,179.0,30800.0
472,189942,A. Ligi,28,Italy,66,66,Carpi,525.0,1,Right,1.0,2.0,CB,2017,01/01/2019,6.25,183.0,814.0
473,190156,Rubén Pérez,29,Spain,75,75,CD Leganés,5000.0,26,Right,1.0,2.0,LCM,2018,01/01/2022,5.833333333,161.0,10500.0
474,190243,M. Hitz,30,Switzerland,79,79,Borussia Dortmund,8000.0,41,Right,2.0,1.0,GK,2018,01/01/2021,6.333333333,196.0,13600.0
475,190247,J. Brayford,30,England,66,66,Burton Albion,475.0,3,Right,1.0,2.0,RCB,2017,01/01/2019,5.666666667,157.0,831.0
476,190311,L. Taylor,28,Montserrat,67,67,Charlton Athletic,800.0,5,Right,1.0,3.0,RS,2018,01/01/2020,6.166666667,174.0,1400.0
477,190430,J. Bennett,28,England,72,72,Cardiff City,2500.0,30,Left,1.0,3.0,LB,2016,01/01/2021,5.833333333,163.0,4900.0
478,190432,Oier,32,Spain,71,71,CA Osasuna,1400.0,7,Right,1.0,2.0,RDM,2008,01/01/2019,5.833333333,159.0,2200.0
479,190456,N. Clyne,27,England,79,80,Liverpool,11500.0,94,Right,2.0,3.0,RB,2015,01/01/2020,5.75,148.0,22700.0
481,190483,Douglas Costa,27,Brazil,86,86,Juventus,46500.0,175,Left,3.0,5.0,LM,2018,01/01/2022,5.666666667,154.0,76700.0
482,190520,T. Jantschke,28,Germany,75,75,Borussia Mönchengladbach,5500.0,24,Right,2.0,2.0,LCB,2009,01/01/2021,5.833333333,168.0,9400.0
483,190531,E. Mangala,27,France,76,78,Manchester City,7500.0,84,Left,2.0,2.0,CB,2014,01/01/2019,6.166666667,185.0,14400.0
485,190722,M. Sordell,27,England,66,66,Burton Albion,675.0,4,Right,1.0,3.0,RM,2017,01/01/2020,5.833333333,179.0,1200.0
486,190765,P. Groß,27,Germany,77,78,Brighton & Hove Albion,10000.0,47,Right,2.0,4.0,CAM,2017,01/01/2022,5.916666667,172.0,19800.0
487,190813,S. El Shaarawy,25,Italy,81,82,Roma,21000.0,77,Right,3.0,5.0,LM,2016,01/01/2020,5.833333333,159.0,37300.0
488,190871,Neymar Jr,26,Brazil,92,93,Paris Saint-Germain,118500.0,290,Right,5.0,5.0,LW,2017,01/01/2022,5.75,150.0,228100.0
491,190982,Alberto Perea,27,Spain,68,68,Cádiz CF,950.0,4,Right,1.0,3.0,CAM,2017,01/01/2020,5.75,152.0,1500.0
492,191005,A. Elmohamady,30,Egypt,72,72,Aston Villa,2200.0,14,Right,2.0,3.0,RB,2017,01/01/2020,6.0,172.0,4300.0
493,191006,A. Golec,28,Australia,62,62,Central Coast Mariners,250.0,1,Left,1.0,2.0,LCB,2017,01/01/2019,6.25,187.0,313.0
494,191043,Alex Sandro,27,Brazil,86,86,Juventus,36500.0,160,Left,3.0,3.0,LB,2015,01/01/2020,5.916666667,176.0,60200.0
495,191066,F. Kroos,27,Germany,72,75,1. FC Union Berlin,3100.0,20,Right,1.0,3.0,LCM,2016,01/01/2019,6.0,172.0,5300.0
496,191076,J. Guðmundsson,27,Iceland,79,79,Burnley,13000.0,61,Left,1.0,4.0,RM,2016,01/01/2021,5.833333333,170.0,24700.0
499,191222,Unai Medina,28,Spain,71,71,CD Numancia,1900.0,7,Right,1.0,2.0,RB,2015,01/01/2019,5.833333333,172.0,3000.0
500,191725,P. Morales,33,Chile,74,74,CD Universidad de Concepción,3400.0,5,Right,2.0,3.0,CAM,2018,01/01/2018,5.916666667,170.0,4800.0
501,191740,Ander Herrera,28,Spain,81,81,Manchester United,17500.0,140,Right,3.0,3.0,CM,2014,01/01/2019,6.0,154.0,32400.0
502,191783,V. Berisha,25,Kosovo,76,79,Lazio,9500.0,40,Right,2.0,4.0,LM,2018,01/01/2023,5.75,154.0,16900.0
503,192026,Souza,30,Brazil,71,71,Cerezo Osaka,1800.0,6,Right,1.0,3.0,LCM,2017,01/01/2021,6.0,165.0,2200.0
504,192071,M. D'Alessandro,27,Italy,70,70,Udinese,1900.0,14,Right,1.0,3.0,RM,2016,30/06/2019,5.666666667,143.0,4585.060806
505,192073,A. Bertolacci,27,Italy,77,77,Milan,9000.0,75,Left,2.0,4.0,CM,2015,01/01/2019,5.833333333,165.0,15300.0
506,192114,A. Briseño,24,Mexico,72,77,CD Feirense,3500.0,7,Right,1.0,2.0,RCB,2017,01/01/2019,6.083333333,165.0,7700.0
507,192119,T. Courtois,26,Belgium,89,90,Real Madrid,53500.0,240,Left,4.0,1.0,GK,2018,01/01/2024,6.5,212.0,113700.0
508,192123,C. Wood,26,New Zealand,77,78,Burnley,10500.0,56,Right,1.0,2.0,ST,2017,01/01/2021,6.166666667,203.0,20700.0
509,192146,V. Ignatiev,31,Russia,75,75,Lokomotiv Moscow,4400.0,1,Right,1.0,3.0,RB,2016,01/01/2019,5.916666667,159.0,9200.0
511,192315,Henrique,33,Brazil,65,65,Brisbane Roar,325.0,2,Right,1.0,3.0,LW,2018,01/01/2019,5.416666667,132.0,406.0
512,192317,J. Steer,25,England,65,70,Charlton Athletic,525.0,4,Left,1.0,1.0,GK,2016,30/06/2019,6.0,176.0,4585.060806
513,192318,M. Götze,26,Germany,82,85,Borussia Dortmund,27000.0,67,Right,4.0,4.0,CM,2016,01/01/2020,5.75,165.0,47900.0
514,192366,N. Otamendi,30,Argentina,85,85,Manchester City,28500.0,170,Right,3.0,2.0,CB,2015,01/01/2022,6.0,179.0,52700.0
515,192387,C. Immobile,28,Italy,87,87,Lazio,52000.0,115,Right,3.0,3.0,ST,2016,01/01/2023,6.083333333,187.0,88400.0
516,192431,Mario Ortíz,29,Spain,68,68,CF Reus Deportiu,850.0,4,Right,1.0,2.0,LCM,2018,01/01/2020,5.833333333,143.0,1300.0
517,192448,M. ter Stegen,26,Germany,89,92,FC Barcelona,58000.0,240,Right,3.0,1.0,GK,2014,01/01/2022,6.166666667,187.0,123300.0
518,192479,B. Reeves,26,Northern Ireland,64,65,Charlton Athletic,525.0,3,Left,1.0,3.0,CAM,2017,01/01/2019,5.666666667,148.0,958.0
519,192490,Juan Villar,30,Spain,73,73,CA Osasuna,3800.0,9,Right,1.0,3.0,RM,2018,01/01/2021,6.0,159.0,6000.0
520,192505,R. Lukaku,25,Belgium,87,89,Manchester United,62500.0,230,Left,3.0,3.0,ST,2017,01/01/2022,6.25,207.0,120300.0
521,192555,I. El Adoua,31,Morocco,70,70,CD Aves,1200.0,7,Right,1.0,2.0,CDM,2018,01/01/2019,6.166666667,174.0,2500.0
523,192575,E. Badu,27,Ghana,75,75,Udinese,7000.0,25,Right,2.0,3.0,CM,2010,01/01/2020,5.666666667,154.0,12600.0
524,192587,A. Ioniţă,27,Moldova,74,74,Cagliari,6000.0,27,Right,2.0,3.0,CAM,2016,01/01/2021,6.0,161.0,10200.0
526,192634,Marc Mateu,28,Spain,73,73,CD Numancia,4000.0,10,Left,1.0,3.0,LB,2015,01/01/2019,5.916666667,157.0,6500.0
528,192660,S. Polter,27,Germany,72,73,1. FC Union Berlin,3600.0,24,Right,1.0,3.0,ST,2017,01/01/2020,6.25,205.0,6100.0
529,192667,A. Nyom,30,Cameroon,74,74,CD Leganés,4100.0,27,Right,2.0,3.0,RWB,2016,30/06/2019,6.166666667,179.0,4585.060806
530,192679,Escudero,28,Spain,79,79,Sevilla FC,10000.0,20,Left,1.0,3.0,LM,2015,01/01/2021,5.75,159.0,21000.0
531,192738,M. Sans,30,France,63,63,Chamois Niortais Football Club,270.0,1,Right,1.0,2.0,CB,2014,01/01/2020,6.25,190.0,473.0
532,192774,K. Manolas,27,Greece,85,87,Roma,37500.0,96,Right,3.0,2.0,LCB,2014,01/01/2022,6.166666667,183.0,66600.0
533,192838,E. Schelotto,29,Italy,73,73,Brighton & Hove Albion,3000.0,34,Right,1.0,3.0,RB,2017,01/01/2020,6.166666667,170.0,5700.0
535,192970,D. Mayor,27,England,66,66,Bury,675.0,5,Right,1.0,4.0,LCM,2014,01/01/2019,6.0,168.0,1200.0
536,192985,K. De Bruyne,27,Belgium,91,92,Manchester City,102000.0,355,Right,4.0,4.0,RCM,2015,01/01/2023,5.916666667,154.0,196400.0
537,193035,Salcedo,27,Spain,60,62,CF Rayo Majadahonda,170.0,1,Right,1.0,1.0,GK,2017,01/01/2019,6.083333333,176.0,276.0
538,193041,K. Navas,31,Costa Rica,87,87,Real Madrid,30500.0,195,Right,3.0,1.0,GK,2014,01/01/2020,6.083333333,176.0,62500.0
539,193080,De Gea,27,Spain,91,93,Manchester United,72000.0,260,Right,4.0,1.0,GK,2011,01/01/2020,6.333333333,168.0,138600.0
541,193091,B. Nuytinck,28,Netherlands,74,76,Udinese,5500.0,22,Left,1.0,2.0,LCB,2017,01/01/2021,6.25,181.0,10300.0
542,193098,C. Clemens,26,Germany,73,73,1. FC Köln,4300.0,17,Right,2.0,3.0,RM,2017,01/01/2021,5.833333333,174.0,6400.0
543,193105,A. Areola,25,France,81,85,Paris Saint-Germain,16500.0,61,Right,2.0,1.0,GK,2010,01/01/2019,6.416666667,207.0,31800.0
544,193116,M. Gonalons,29,France,75,75,Sevilla FC,5000.0,47,Right,3.0,3.0,CDM,2016,30/06/2019,6.166666667,168.0,4585.060806
545,193133,J. Stryger Larsen,27,Denmark,73,75,Udinese,3900.0,19,Right,1.0,3.0,LB,2017,01/01/2022,6.0,181.0,7300.0
546,193158,D. Pröpper,26,Netherlands,77,78,Brighton & Hove Albion,10500.0,47,Right,2.0,3.0,CM,2017,01/01/2021,6.083333333,174.0,20700.0
547,193165,J. Corona,25,Mexico,81,83,FC Porto,21500.0,18,Right,3.0,5.0,RM,2015,01/01/2020,5.666666667,137.0,44600.0
548,193186,N. Etheridge,28,Philippines,73,75,Cardiff City,3300.0,28,Right,1.0,1.0,GK,2017,01/01/2021,6.25,196.0,6900.0
549,193187,K. Bennett,27,England,66,66,Bristol Rovers,675.0,4,Right,1.0,4.0,LM,2018,01/01/2019,5.416666667,134.0,1200.0
550,193211,A. Ignjovski,27,Serbia,70,70,1. FC Magdeburg,1500.0,8,Right,2.0,2.0,RB,2018,01/01/2020,5.75,157.0,2300.0
551,193251,C. Schösswendter,29,Austria,66,66,1. FC Union Berlin,500.0,8,Right,1.0,2.0,CB,2017,01/01/2019,6.333333333,172.0,800.0
552,193254,C. Trimmel,31,Austria,72,72,1. FC Union Berlin,2000.0,20,Right,1.0,3.0,RB,2014,01/01/2019,6.166666667,179.0,3300.0
553,193267,F. Pisacane,32,Italy,72,72,Cagliari,1800.0,20,Right,1.0,2.0,CB,2015,01/01/2019,5.833333333,170.0,3000.0
554,193283,T. Delaney,26,Denmark,82,83,Borussia Dortmund,21500.0,61,Left,2.0,3.0,LCM,2018,01/01/2022,6.0,174.0,38200.0
555,193293,J. Rodríguez,33,Uruguay,69,69,CD Palestino,650.0,3,Left,1.0,3.0,CAM,2018,01/01/2018,5.666666667,143.0,878.0
556,193301,A. Lacazette,27,France,85,86,Arsenal,45000.0,180,Right,3.0,4.0,ST,2017,01/01/2022,5.75,161.0,88900.0
557,193303,A. Richards,27,Wales,69,69,Cardiff City,875.0,19,Right,1.0,3.0,RB,2016,01/01/2019,5.75,165.0,1800.0
558,193348,X. Shaqiri,26,Switzerland,81,81,Liverpool,19000.0,130,Left,3.0,5.0,CAM,2018,01/01/2023,5.583333333,159.0,36100.0
559,193352,R. Rodríguez,25,Switzerland,80,83,Milan,15500.0,81,Left,3.0,4.0,LB,2017,01/01/2021,5.916666667,170.0,27500.0
561,193369,Galán,32,Spain,69,69,CF Rayo Majadahonda,575.0,4,Right,1.0,2.0,RB,2018,01/01/2019,5.916666667,174.0,891.0
562,193420,M. Schmiedebach,29,Germany,72,72,1. FC Union Berlin,2400.0,22,Right,2.0,3.0,CDM,2016,30/06/2020,5.583333333,154.0,4585.060806
563,193421,Javi Lara,32,Spain,70,70,Córdoba CF,1300.0,6,Right,1.0,3.0,RCM,2017,01/01/2019,5.833333333,161.0,2100.0
564,193425,H. Behrens,28,Germany,75,75,1. FC Nürnberg,6500.0,24,Right,1.0,3.0,RDM,2015,01/01/2021,6.166666667,181.0,11700.0
565,193431,H. Lingani,30,Ivory Coast,64,64,AS Béziers,325.0,1,Right,1.0,2.0,CB,2017,01/01/2021,6.0,159.0,569.0
566,193468,L. Benito,26,Switzerland,72,75,BSC Young Boys,3200.0,15,Left,1.0,2.0,LB,2015,01/01/2019,6.0,187.0,5000.0
567,193550,B. Kayal,30,Israel,72,72,Brighton & Hove Albion,2900.0,31,Right,1.0,3.0,LCM,2015,01/01/2019,5.833333333,163.0,5500.0
568,193554,D. Sakho,28,Senegal,74,74,Bursaspor,6000.0,30,Right,1.0,3.0,ST,2016,30/06/2019,6.0,174.0,4585.060806
569,193608,O. Clarke,26,England,65,65,Bristol Rovers,575.0,3,Right,1.0,3.0,RCM,2009,01/01/2019,5.916666667,170.0,1000.0
571,193695,Nélson Lenho,34,Portugal,71,71,CD Aves,675.0,8,Left,1.0,3.0,LB,2017,01/01/2020,5.833333333,157.0,1400.0
572,193714,N. Pejčinović,30,Serbia,77,77,Changchun Yatai FC,6500.0,13,Right,2.0,2.0,CB,2018,01/01/2020,6.083333333,176.0,14000.0
573,193735,Juan Dominguez,28,Spain,70,70,CF Reus Deportiu,1800.0,6,Right,1.0,3.0,RCM,2017,01/01/2020,5.916666667,157.0,2700.0
574,193757,Edu Ramos,26,Spain,69,73,Cádiz CF,1100.0,5,Right,1.0,2.0,CDM,2018,01/01/2019,5.833333333,148.0,1900.0
576,193847,Osmar,30,Spain,71,71,Cerezo Osaka,1800.0,5,Left,2.0,2.0,CDM,2016,31/12/2018,6.333333333,196.0,4585.060806
577,193849,C. Hourihane,27,Republic of Ireland,74,74,Aston Villa,6000.0,18,Left,1.0,3.0,LCM,2017,01/01/2020,5.916666667,137.0,11400.0
578,193860,T. Schick,28,Austria,68,68,BSC Young Boys,900.0,9,Right,1.0,3.0,RM,2016,01/01/2019,5.916666667,161.0,1400.0
579,193864,Bruno Monteiro,33,Portugal,68,68,CD Tondela,525.0,3,Right,1.0,2.0,LDM,2014,01/01/2020,5.833333333,161.0,1100.0
580,193875,J. Hingert,27,Australia,65,65,Brisbane Roar,450.0,2,Right,1.0,2.0,RB,2011,01/01/2020,5.583333333,150.0,563.0
581,193891,Borja Viguera,31,Spain,67,67,CD Numancia,675.0,4,Right,1.0,3.0,ST,2018,01/01/2020,6.0,168.0,1100.0
582,193900,J. Hunt,27,England,69,69,Bristol City,875.0,18,Right,1.0,3.0,RB,2018,01/01/2021,5.75,157.0,1700.0
583,193909,Escassi,29,Spain,71,72,CD Numancia,2100.0,7,Right,1.0,2.0,CDM,2016,01/01/2020,6.083333333,172.0,3500.0
585,193932,R. Lambe,27,Bermuda,63,63,Cambridge United,375.0,3,Right,1.0,3.0,LM,2018,01/01/2020,5.75,179.0,656.0
586,194017,A. Weimann,26,Austria,72,72,Bristol City,3400.0,32,Right,1.0,3.0,RS,2018,01/01/2021,5.833333333,168.0,6500.0
587,194020,Pelé,26,Guinea Bissau,75,77,AS Monaco,6500.0,48,Right,1.0,3.0,CDM,2018,01/01/2023,6.0,170.0,12800.0
588,194053,L. Sobiech,27,Germany,74,74,1. FC Köln,4700.0,17,Right,1.0,2.0,CB,2018,01/01/2022,6.416666667,194.0,7100.0
589,194146,K. Long,27,Republic of Ireland,73,73,Burnley,3400.0,36,Right,1.0,2.0,LCB,2010,01/01/2021,6.25,181.0,6400.0
590,194319,D. Ward,27,England,69,69,Cardiff City,1100.0,22,Left,1.0,3.0,ST,2017,01/01/2020,5.916666667,159.0,2200.0
591,194333,R. Gikiewicz,30,Poland,73,73,1. FC Union Berlin,2600.0,19,Right,1.0,1.0,GK,2018,01/01/2020,6.25,179.0,4100.0
592,194644,Montoya,27,Spain,77,78,Brighton & Hove Albion,8000.0,43,Right,2.0,3.0,RB,2018,01/01/2022,5.75,161.0,15800.0
593,194730,Juan Carlos,30,Spain,71,71,CD Lugo,1500.0,5,Right,1.0,1.0,GK,2017,01/01/2019,6.166666667,181.0,2400.0
594,194894,F. Rossi,27,Italy,60,64,Atalanta,180.0,3,Right,1.0,1.0,GK,2017,01/01/2022,6.333333333,183.0,320.0
595,194937,T. Parkes,26,England,65,65,Carlisle United,475.0,3,Left,1.0,2.0,CB,2017,01/01/2019,6.166666667,174.0,831.0
597,194957,P. Jones,26,England,79,80,Manchester United,12000.0,110,Right,2.0,2.0,CB,2011,01/01/2019,6.083333333,157.0,23100.0
598,194964,N. Mendez-Laing,26,England,71,72,Cardiff City,2800.0,30,Right,1.0,3.0,RW,2017,01/01/2021,5.916666667,165.0,5800.0
599,195086,D. Lovren,28,Croatia,81,82,Liverpool,16000.0,115,Right,2.0,2.0,RCB,2014,01/01/2021,6.166666667,185.0,31600.0
600,195124,D. Amoo,27,England,63,63,Cambridge United,375.0,3,Right,1.0,3.0,RM,2017,01/01/2019,5.833333333,170.0,656.0
601,195722,R. Cereceda,33,Chile,67,67,CD O'Higgins,290.0,3,Left,1.0,2.0,LB,2018,01/01/2018,5.666666667,161.0,392.0
602,195838,Crivellaro,29,Brazil,71,71,CD Feirense,2300.0,9,Left,1.0,3.0,CAM,2018,01/01/2019,6.0,172.0,4900.0
603,195864,P. Pogba,25,France,87,91,Manchester United,64000.0,210,Right,4.0,5.0,RDM,2016,01/01/2021,6.333333333,185.0,123200.0
605,196070,H. Martínez,31,Chile,67,67,CD Universidad de Concepción,525.0,2,Right,1.0,2.0,CB,2018,01/01/2018,5.833333333,161.0,735.0
607,196896,Babanco,32,Cape Verde,71,71,CD Feirense,1800.0,8,Left,1.0,3.0,LDM,2017,01/01/2020,5.833333333,154.0,3800.0
609,196916,M. Pack,27,England,72,73,Bristol City,3500.0,30,Right,1.0,3.0,LCM,2013,01/01/2021,6.166666667,163.0,6900.0
610,196942,Iñigo Pérez,30,Spain,74,74,CA Osasuna,4200.0,9,Left,1.0,2.0,LDM,2018,01/01/2022,5.833333333,163.0,6700.0
611,196946,E. Izaguirre,32,Honduras,68,68,Celtic,500.0,17,Left,1.0,3.0,LB,2018,01/01/2019,5.833333333,170.0,900.0
612,197061,J. Matip,26,Cameroon,80,82,Liverpool,15000.0,99,Right,2.0,2.0,CB,2016,01/01/2020,6.333333333,198.0,29600.0
613,197170,K. Harris,25,England,65,68,Cardiff City,675.0,11,Right,1.0,3.0,LM,2012,01/01/2019,5.75,150.0,1400.0
614,197242,G. Krychowiak,28,Poland,78,79,Lokomotiv Moscow,9500.0,1,Right,3.0,3.0,LCM,2016,01/01/2021,6.083333333,187.0,20700.0
615,197445,D. Alaba,26,Austria,85,87,FC Bayern München,38000.0,110,Left,4.0,3.0,LB,2010,01/01/2021,5.916666667,168.0,65600.0
616,197781,Isco,26,Spain,88,91,Real Madrid,73500.0,315,Right,3.0,4.0,LW,2013,01/01/2022,5.75,174.0,156200.0
617,197786,G. Donati,28,Italy,73,73,1. FSV Mainz 05,3200.0,21,Right,2.0,2.0,RB,2016,01/01/2019,5.833333333,168.0,5700.0
618,197837,D. Boyata,27,Belgium,75,77,Celtic,6500.0,42,Right,1.0,2.0,RCB,2015,01/01/2019,6.166666667,190.0,12200.0
619,197996,E. Larsson,26,Sweden,66,67,Malmö FF,625.0,2,Right,1.0,2.0,RWB,2018,01/01/2021,5.75,150.0,859.0
621,198031,Sérgio Oliveira,26,Portugal,79,82,FC Porto,15500.0,17,Right,1.0,3.0,CM,2015,01/01/2021,5.916666667,159.0,32200.0
622,198062,Pichu Atienza,28,Spain,70,72,CD Numancia,1700.0,6,Right,1.0,2.0,RCB,2018,01/01/2020,6.25,187.0,2800.0
623,198077,P. Herrmann,27,Germany,77,77,Borussia Mönchengladbach,9500.0,29,Right,2.0,3.0,RM,2010,01/01/2019,5.833333333,154.0,16200.0
624,198113,M. Höger,28,Germany,75,75,1. FC Köln,6500.0,21,Right,2.0,2.0,CM,2016,01/01/2021,6.0,183.0,9800.0
626,198190,G. Cunningham,27,Republic of Ireland,74,75,Cardiff City,5000.0,35,Left,1.0,3.0,LB,2018,01/01/2021,6.0,154.0,10400.0
627,198240,Raul García,29,Spain,73,73,CD Leganés,3000.0,22,Left,1.0,2.0,LB,2017,01/01/2019,5.75,163.0,6300.0
628,198331,M. Vydra,26,Czech Republic,74,76,Burnley,7000.0,43,Right,1.0,3.0,CAM,2018,01/01/2021,5.75,157.0,13800.0
629,198352,S. Bell,26,Germany,76,77,1. FSV Mainz 05,7500.0,24,Right,1.0,2.0,RCB,2010,01/01/2020,6.333333333,194.0,14100.0
630,198504,J. Drmić,25,Switzerland,75,78,Borussia Mönchengladbach,8500.0,26,Right,2.0,3.0,ST,2015,01/01/2019,6.0,179.0,15100.0
631,198513,Cláudio Ramos,26,Portugal,78,82,CD Tondela,9500.0,6,Right,1.0,1.0,GK,2012,01/01/2020,6.0,187.0,20700.0
632,198553,C. Gamboa,28,Costa Rica,69,69,Celtic,825.0,22,Right,1.0,3.0,RB,2016,01/01/2019,5.75,165.0,1500.0
633,198554,A. Ujah,27,Nigeria,73,73,1. FSV Mainz 05,4300.0,23,Right,2.0,3.0,ST,2018,01/01/2021,6.0,179.0,7700.0
634,198560,Carlos Ruiz,34,Spain,69,69,CD Tenerife,325.0,5,Right,1.0,2.0,CB,2013,01/01/2019,6.0,176.0,520.0
635,198564,Jona,29,Honduras,70,70,CD Lugo,1800.0,7,Right,1.0,3.0,ST,2016,30/06/2019,6.0,176.0,4585.060806
636,198617,D. Drexler,28,Germany,74,74,1. FC Köln,5500.0,20,Right,1.0,3.0,LCM,2018,01/01/2022,6.0,157.0,8300.0
637,198625,S. Bain,26,Scotland,68,72,Celtic,800.0,14,Right,1.0,1.0,GK,2018,01/01/2022,5.916666667,185.0,1500.0
638,198641,K. Zohore,24,Denmark,72,77,Cardiff City,4200.0,30,Left,1.0,3.0,ST,2016,01/01/2020,6.333333333,212.0,8800.0
639,198654,A. Kolomeytsev,29,Russia,71,71,Lokomotiv Moscow,1800.0,1,Right,1.0,3.0,CDM,2015,01/01/2020,6.0,172.0,3900.0
640,198706,Luis Alberto,25,Spain,82,85,Lazio,28500.0,67,Right,2.0,4.0,CF,2016,01/01/2022,6.0,163.0,50600.0
641,198710,J. Rodríguez,26,Colombia,88,89,FC Bayern München,69500.0,315,Left,4.0,4.0,LAM,2016,30/06/2019,5.916666667,172.0,4585.060806
642,198784,A. Oxlade-Chamberlain,24,England,80,85,Liverpool,19500.0,94,Right,2.0,4.0,CM,2017,01/01/2022,5.75,154.0,38500.0
643,198810,B. Wright,25,Australia,71,74,Bristol City,2500.0,23,Right,1.0,2.0,CB,2017,01/01/2019,6.0,174.0,4900.0
644,198857,S. Romagnoli,28,Italy,70,70,Brescia,1400.0,8,Right,1.0,2.0,RCB,2016,30/06/2019,6.333333333,187.0,4585.060806
645,198927,T. Miller,28,England,61,61,Bury,200.0,3,Right,1.0,2.0,RWB,2018,01/01/2020,5.75,159.0,350.0
646,198946,D. D'Ambrosio,29,Italy,76,76,Inter,6000.0,50,Right,2.0,3.0,LB,2014,01/01/2021,5.916666667,165.0,10200.0
647,198950,Pablo Sarabia,26,Spain,82,83,Sevilla FC,26000.0,26,Left,2.0,4.0,RCM,2016,01/01/2020,5.75,154.0,56600.0
648,198955,Juan Muñiz,26,Spain,67,68,CD Lugo,900.0,4,Left,1.0,3.0,RM,2018,01/01/2020,5.833333333,163.0,1500.0
649,198964,Tyronne,27,Spain,68,68,CD Tenerife,950.0,5,Left,1.0,3.0,RM,2017,01/01/2020,5.916666667,159.0,1500.0
650,199005,M. Ryan,26,Australia,79,81,Brighton & Hove Albion,10500.0,41,Right,1.0,1.0,GK,2017,01/01/2022,6.0,181.0,20700.0
651,199042,C. Aránguiz,29,Chile,81,81,Bayer 04 Leverkusen,17000.0,76,Right,2.0,3.0,LDM,2015,01/01/2020,5.583333333,154.0,28900.0
652,199069,V. Aboubakar,26,Cameroon,80,82,FC Porto,18000.0,19,Right,3.0,5.0,ST,2014,01/01/2021,6.0,181.0,37400.0
653,199110,L. Muriel,27,Colombia,80,81,Sevilla FC,17500.0,24,Right,2.0,4.0,ST,2017,01/01/2022,5.833333333,174.0,38100.0
654,199152,D. Lekić,33,Serbia,71,71,Cádiz CF,1500.0,8,Right,1.0,2.0,ST,2018,01/01/2019,6.333333333,194.0,2400.0
655,199189,R. Barkley,24,England,79,82,Chelsea,16000.0,89,Right,2.0,4.0,CAM,2018,01/01/2023,6.083333333,192.0,30800.0
656,199247,Álex Fernández,25,Spain,72,77,Cádiz CF,3500.0,7,Right,1.0,3.0,CAM,2017,01/01/2022,5.916666667,150.0,5800.0
657,199254,João Pedro,26,Brazil,76,79,Cagliari,9500.0,30,Right,1.0,4.0,LS,2014,01/01/2022,6.0,161.0,16900.0
658,199304,Danilo,26,Brazil,79,80,Manchester City,12000.0,110,Right,2.0,3.0,RB,2017,01/01/2022,6.0,172.0,23100.0
659,199305,M. Wittek,29,Germany,69,69,1. FC Heidenheim 1846,825.0,7,Right,1.0,2.0,CB,2012,01/01/2020,6.333333333,194.0,1300.0
660,199347,T. Beermann,27,Germany,69,70,1. FC Heidenheim 1846,1000.0,6,Left,1.0,2.0,LCB,2013,01/01/2020,6.166666667,187.0,1600.0
661,199418,E. Bauthéac,30,France,74,74,Brisbane Roar,5500.0,7,Left,2.0,3.0,RM,2017,01/01/2019,5.583333333,152.0,6900.0
662,199451,W. Ben Yedder,27,France,82,82,Sevilla FC,23500.0,28,Right,2.0,4.0,RS,2016,01/01/2021,5.583333333,150.0,49400.0
663,199503,G. Xhaka,25,Switzerland,81,84,Arsenal,22000.0,115,Left,3.0,3.0,LDM,2016,01/01/2021,6.083333333,181.0,43500.0
665,199556,M. Verratti,25,Italy,86,89,Paris Saint-Germain,55000.0,135,Right,3.0,4.0,LCM,2012,01/01/2021,5.416666667,132.0,105900.0
666,199561,Nolito,31,Spain,79,79,Sevilla FC,11000.0,21,Right,3.0,4.0,LM,2017,01/01/2020,5.75,159.0,23100.0
669,199577,Sergi Gómez,26,Spain,78,83,Sevilla FC,11500.0,17,Right,1.0,2.0,LCB,2018,01/01/2022,6.083333333,170.0,25000.0
